fact	theory	serial	serial_max	component_count	source_file	source_line	concealed	has_skip_proof	depends_on_article_sorry
pss_mechanized.seg_0_eq_take	pss_mechanized	480300	480300	1	isabelle/pss_mechanized.thy	890	false	false	false
pss_mechanized.seg_to_last_eq_drop	pss_mechanized	480370	480370	1	isabelle/pss_mechanized.thy	896	false	false	false
pss_mechanized.P_add_drop_eq_map_nth	pss_mechanized	480422	480422	1	isabelle/pss_mechanized.thy	907	false	false	false
pss_mechanized.P_add_seg_0_eq_take	pss_mechanized	480462	480462	1	isabelle/pss_mechanized.thy	911	false	false	false
pss_mechanized.P_add_seg_to_last_eq_drop	pss_mechanized	480500	480500	1	isabelle/pss_mechanized.thy	917	false	false	false
pss_mechanized.P_add_Pcut_props	pss_mechanized	480548	480548	1	isabelle/pss_mechanized.thy	932	false	false	false
pss_mechanized.P_add_Pcut_left_min	pss_mechanized	480642	480642	1	isabelle/pss_mechanized.thy	949	false	false	false
pss_mechanized.P_add_drop_ancestor	pss_mechanized	480730	480730	1	isabelle/pss_mechanized.thy	994	false	true	false
pss_mechanized.m_6_2_P_additive	pss_mechanized	480978	480978	1	isabelle/pss_mechanized.thy	1033	false	true	false
pss_mechanized.Pcut_le	pss_mechanized	481020	481020	1	isabelle/pss_mechanized.thy	1163	false	false	false
pss_mechanized.drop_eq_seg	pss_mechanized	481098	481098	1	isabelle/pss_mechanized.thy	1177	false	false	false
pss_mechanized.m_6_2_P_components_1	pss_mechanized	481216	481216	1	isabelle/pss_mechanized.thy	1191	false	true	false
pss_mechanized.adm_nextrel0_seg	pss_mechanized	481310	481310	1	isabelle/pss_mechanized.thy	1280	false	false	false
pss_mechanized.adm_le0_seg_M_to_N	pss_mechanized	481416	481416	1	isabelle/pss_mechanized.thy	1333	false	false	false
pss_mechanized.adm_le0_seg_N_to_M	pss_mechanized	481544	481544	1	isabelle/pss_mechanized.thy	1357	false	false	false
pss_mechanized.adm_le0_seg	pss_mechanized	481600	481600	1	isabelle/pss_mechanized.thy	1379	false	false	false
pss_mechanized.adm_nextrel1_seg	pss_mechanized	481698	481698	1	isabelle/pss_mechanized.thy	1411	false	false	false
pss_mechanized.adm_nextR1_seg	pss_mechanized	481770	481770	1	isabelle/pss_mechanized.thy	1485	false	false	false
pss_mechanized.m_6_3_adm_slice	pss_mechanized	481882	481882	1	isabelle/pss_mechanized.thy	1492	false	true	false
